dJ1dp,dJ2dp,u,J~
-0.007853981747033445,0.15550094514227028,-0.4422511646460947,0.3141592741012573
-0.007853981747033445,0.15550094514227028,-0.4422511646460947,0.29044023156166077
-0.1537766828459278,3.0629466016548923,-0.9926913766836452,0.29044023156166077
-0.18166825854698185,3.018025590218325,-0.9925044267521826,5.808804988861084
-0.2351445178123114,3.0066467840205315,-0.993558465522554,5.808804988861084
-0.395023905033284,2.938166522802257,-0.9936036607800777,5.797004222869873
-0.43885602409400054,2.8728317162496335,-0.9968025933191156,5.788266181945801
-0.49513044258036304,2.8066203232916016,-0.9992734287681398,5.778409957885742
-0.5545424060467657,2.740404784140757,-0.995968239058277,5.778409957885742
-0.6150930356616936,2.674312453037596,-0.9999867168481521,5.767373561859131
-0.6818566338834153,2.6374905937085025,-0.9997274806047622,5.7484211921691895
-0.7383783000371961,2.543176885191487,-0.9994511288964801,5.733731746673584
-0.7702967176170828,2.477810895720281,-0.9994213636130639,5.717874050140381
-0.8677929486684255,2.4127710975308463,-0.9996169818122692,5.700612545013428
-0.9294238737664783,2.3485223956402104,-0.9999917740730802,5.700612545013428
-0.999829760687901,2.2249844999556054,-0.9913791296245359,5.662449359893799
-1.0659588765927515,2.161702608193376,-0.9991193362697969,5.662449359893799
-1.1357789614933511,2.098448444290896,-0.999695250211482,5.608416557312012
-1.2035449727166334,2.120129382727709,-0.9990037928712958,5.608416557312012
-1.2834959034104978,1.9722205464710274,-0.9927948544895696,5.559227466583252
-1.306918790095893,1.9689499972837141,-0.9923372865108042,5.559227466583252
-1.336352949632232,1.8496015569071604,-0.99257176460571,5.518863677978516
-1.351822773235737,1.8463139521163827,-0.9929514427690423,5.518863677978516
-1.2767385091385794,1.7284235917151125,-0.9921163019629584,5.477139949798584
-1.2447640476352382,1.6670156113589059,-0.9926754924644463,5.422276020050049
-1.2677308765146258,1.6643020240030786,-0.9923547762584675,5.422276020050049
-1.297109180514786,1.5478905736953046,-0.9929483457818669,5.394547462463379
-1.3182587645987531,1.4882188394573859,-0.9938290647212144,5.380380630493164
-1.3202604541055143,1.4303709787496355,-0.9948129940262549,5.3094353675842285
-1.3261300110027487,1.3717938028652723,-0.9951646069261634,5.3094353675842285
-1.3421245264427666,1.3132326802645702,-0.9959843112503424,5.252355098724365
-1.3662279267767994,1.3107412586307072,-0.9970936182500608,5.252355098724365
-1.3308403413156153,1.198262318669747,-0.9965905017546638,5.22361946105957
-1.3570859164961164,1.141259485771036,-0.9975200987092241,5.1651411056518555
-1.3791061957147905,1.084596779445502,-0.9983453074732783,5.1651411056518555
-1.4024905400093883,1.028240413664368,-0.999053126672069,5.106597423553467
-1.4318055528850224,1.0259791641842166,-0.9994582332822085,5.106597423553467
-1.427411057456701,0.9166695523332431,-0.9995095574882766,5.076552867889404
-1.4175377151692459,0.8616628282235218,-0.999542568998381,5.031096935272217
-1.430476942352876,0.8068257455869405,-0.9996750696437815,5.031096935272217
-1.4362722288522594,0.7525392171242273,-0.999842833497098,4.985485553741455
-1.4616397212568468,0.69859802854195,-0.9995084409454768,4.954819202423096
-1.4781987344026315,0.6451288419554243,-0.9927557160297339,4.893568992614746
-1.5046641058195598,0.6437281130981998,-0.9753141254962663,4.893568992614746
-1.502311878634189,0.5900916095221094,-0.9674643159213456,4.846868991851807
-1.4795352464405889,0.5396756472091243,-0.9822767155959523,4.846868991851807
-1.3589168439058086,0.4399611396701634,-0.9995169619313736,4.815739154815674
-1.5039687151644996,0.43910020959234025,-0.9600306475323218,4.769237518310547
-1.4905369788133351,0.38804358909561704,-0.9592605695488636,4.769237518310547
-1.4755311057514546,0.33841022844346347,-0.9626199508382601,4.738110542297363
-1.4997779475291269,0.35498241679410375,-0.9408852375275087,4.706984996795654
-1.5000374817992967,0.3062637481698868,-0.9406723279703664,4.675861358642578
-1.492880970516012,0.25837470216773295,-0.9388710561856194,4.675861358642578
-1.544458001886466,0.21158449914357097,-0.9014845532790786,4.644739151000977
-1.540865607119651,0.16500133799845237,-0.903533388327336,4.644739151000977
-1.5474072964249863,0.11975309083591318,-0.8966888355680395,4.61391544342041
-1.4916451068102963,0.0318509276549533,-0.9269463684509369,4.56694221496582
-1.4968856667482866,-0.01214173949192824,-0.914255176680567,4.56694221496582
-1.4968856667482866,-0.01214173949192824,-0.9111401482903396,4.551382064819336
-1.38586495213899,-0.10097059598014128,-0.9670160974349591,4.473596096038818
-1.5475796030709628,-0.09949633723550927,-0.857167234317006,4.426926136016846
-1.5406138312965332,-0.14412605557805627,-0.8549358625327882,4.39581823348999
-1.5355331883611325,-0.18717092332049828,-0.857742140035236,4.395970821380615
-1.4804497217614083,-0.2272733257697673,-0.8800860585625566,4.349310398101807
-1.5199708830192673,-0.26711103992560453,-0.8572702438345381,4.349310398101807
-1.4804451910382879,-0.34724865314448017,-0.8673647570711371,4.2869462966918945
-1.5278639565047802,-0.34691294283526625,-0.8350559389146415,4.255844593048096
-1.5343086533832981,-0.3861113449518985,-0.8284790501868378,4.240292072296143
-1.5333532896119029,-0.4247794492023572,-0.8289292482309839,4.240292072296143
-1.5072791777051058,-0.49928483014973624,-0.8399724502335084,4.178088665008545
-1.5211410835592534,-0.499014477127395,-0.8231896525073709,4.178088665008545
-1.5547141406005636,-0.5360777053949953,-0.8054204440694714,4.178088665008545
-1.494287903407245,-0.6084119609557919,-0.831489852159604,4.147143840789795
-1.5123489693139962,-0.6081012657116567,-0.8216097631196995,4.147143840789795
-1.4727516931599705,-0.6791413436204686,-0.8307690848857736,4.084783554077148
-1.5251732207919133,-0.6782439914579316,-0.7962411149873977,4.053681373596191
-1.5550883630911,-0.7134790297652613,-0.7809351865026334,4.053681373596191
-1.5081749985163277,-0.7818075269510576,-0.7957176260007716,4.007029056549072
-1.5442972349284725,-0.8146339489211043,-0.7741198185957034,3.960376262664795
-1.5346452415748055,-0.8139091486448378,-0.7728914572982591,3.960376262664795
-1.520648325937027,-0.8789677786510156,-0.7676011241367906,3.8981728553771973
-1.5176956152434116,-0.8781889523828315,-0.7690885017400031,3.8981728553771973
-1.5269271198593903,-0.909304681301573,-0.7613886181227605,3.8827788829803467
-1.5550883630911,-0.9404000904177586,-0.7476171251529504,3.8827788829803467
-1.5550883630911,-0.9711118785409938,-0.7445415104143266,3.8670709133148193
-1.5389900885186363,-1.0325809006924698,-0.7431108980722301,3.820418357849121
-1.542196055932711,-1.0616231669715992,-0.7385073181220777,3.7582147121429443
-1.5550883630911,-1.0605501189728805,-0.7234242316422187,3.7582147121429443
-1.5364858499911742,-1.1179769655615042,-0.7290205384445327,3.742663860321045
-1.5550883630911,-1.146027185350485,-0.7173041811411317,3.7271130084991455
-1.5550883630911,-1.144666722891637,-0.7083448447901018,3.680617570877075
-1.5550883630911,-1.1715778061461026,-0.7083061980209382,3.680617570877075
-1.5590153538183251,-1.1994286607130227,-0.7064912932620654,3.680617570877075
