u,J~
-0.7476121608362161,-1.0
-0.7476121608362161,-1.0
-0.7476121608362161,-0.9762809760868549
1.0243133777780047,-0.5885118842124939
-1.0260581177006087,-0.5951890349388123
-1.0270533334525715,-0.6277854144573212
-1.055582319728842,-0.6465075314044952
-1.047732903033856,-0.6642821133136749
-1.0408127658202557,-0.6779278218746185
-1.044917059266868,-0.6990460455417633
-1.0522328403994774,-0.7195730805397034
-1.0544748612709667,-0.737300306558609
-1.0558639968826464,-0.738539844751358
-1.0576761781691142,-0.7600601464509964
-1.0586997070729605,-0.7625946998596191
-1.0594474925347577,-0.7681419104337692
-1.0599675488478277,-0.7882654368877411
-1.0599224944150334,-0.7937343269586563
-1.0595840527015126,-0.7920717298984528
-1.0547925693492992,-0.7857554405927658
-1.0444663512014696,-0.7899110019207001
-1.059345637220517,-0.7603912204504013
-1.0595955033546782,-0.7865999639034271
-1.059256941577183,-0.7706063538789749
-1.0584592112292734,-0.7771428972482681
-1.05992890568201,-0.7694882750511169
-1.0598498181602884,-0.7708697319030762
-1.059823018439158,-0.7891438603401184
-1.059789444483365,-0.7876528948545456
-1.059684333246089,-0.7893609404563904
-1.0596518406697804,-0.7918507754802704
-1.0595715765361582,-0.803041860461235
-1.0591839835834747,-0.7897321730852127
-1.0594768556728111,-0.7961609661579132
-1.0592054205387047,-0.8102452903985977
-1.0586620062885388,-0.8058895915746689
-1.0587570587924209,-0.8092955052852631
-1.0589601513707,-0.8147693276405334
-1.0592332105289062,-0.8176703900098801
-1.0592196729905339,-0.8069834411144257
-1.0588141194176905,-0.8105399459600449
-1.0584532233288135,-0.7970899194478989
-1.0585381275837225,-0.8033592402935028
-1.0588773471505766,-0.8123936504125595
-1.0590891949875563,-0.815066397190094
-1.059093678060592,-0.8240708857774734
-1.059082172786009,-0.8226369619369507
-1.0589809163241186,-0.8313976973295212
-1.0587536533779978,-0.8370696157217026
-1.058765717250547,-0.8370696157217026
-1.0586145971662362,-0.8306479454040527
-1.058662527327433,-0.8330433070659637
-1.058440901163942,-0.8436018079519272
-1.0584850326083404,-0.8292459100484848
-1.0583291887924529,-0.8427433371543884
-1.0585801998686688,-0.8502860963344574
-1.0580324749914003,-0.8590589761734009
-1.058081906344158,-0.8525701612234116
-1.057919821047895,-0.8487687557935715
-1.0581238067199756,-0.8478715419769287
-1.0580944578175402,-0.8440215885639191
