u,J~
-3.1838209367166055,-1.0
-3.1838209367166055,-1.0
-3.257607691871784,-0.9881404880434275
-2.718504144101356,-0.5545318722724915
-2.4598524098143377,-0.5537303984165192
-2.06621211817444,-0.5385938286781311
-1.8358963240213548,-0.5445241928100586
-1.2329452144628905,-0.5392419099807739
-1.54763952979863,-0.5360231697559357
-1.5596477268372664,-0.5500668287277222
-1.5078244279809212,-0.5470780730247498
-1.4034530382066412,-0.5729634165763855
-1.3297385266298378,-0.5641883015632629
-1.2182189037057736,-0.5776138007640839
-1.197504377719369,-0.5721591413021088
-1.1105902950591606,-0.5802313983440399
-1.0869116955730587,-0.5850212275981903
-1.0057623559183726,-0.5800755321979523
-0.9974325899774188,-0.5824947357177734
-0.9523438383726806,-0.6045325994491577
-0.9228432116591033,-0.5973593294620514
-0.8936231360203547,-0.599197119474411
-0.8543695016628776,-0.6107174158096313
-0.8237321350065635,-0.6244000196456909
-0.8318357362064491,-0.6253170371055603
-0.7824525351805399,-0.6429509520530701
-0.75970609238163,-0.6376118063926697
-0.745816472843395,-0.6417376399040222
-0.7350796200150848,-0.6507177948951721
-0.7175338586618499,-0.6782281696796417
-0.6997434494905026,-0.6817913949489594
-0.686539089886446,-0.6858414113521576
-0.6900431294820515,-0.6834059953689575
-0.6665369703690041,-0.702873945236206
-0.6861117800740496,-0.7145325839519501
-0.6671343745462754,-0.7303018569946289
-0.6675726914071978,-0.7438064813613892
-0.6500300315795384,-0.7552123665809631
-0.6520420631710354,-0.7639297693967819
-0.668209620693524,-0.762406125664711
-0.6592215171231613,-0.7712217718362808
-0.6517200066728648,-0.7786886245012283
-0.6667625495549814,-0.7722924053668976
-0.6597171074699186,-0.7782170325517654
-0.6507488480339902,-0.7707845568656921
-0.6593302616551665,-0.7922040075063705
-0.6512812063108527,-0.7821560502052307
-0.6513430684177417,-0.7885536104440689
-0.6680784139455116,-0.7788103818893433
-0.6589796858464311,-0.7823590785264969
-0.6514116103261012,-0.7873879820108414
-0.6590485750138555,-0.7931734323501587
-0.6520304444866806,-0.7945639938116074
-0.6424013078245528,-0.799844965338707
-0.6596645744703098,-0.7721417844295502
-0.6595978590329746,-0.7766147553920746
-0.6506217219342538,-0.7808616161346436
-0.6697057422597985,-0.7690163850784302
-0.6603426554468237,-0.7913312762975693
-0.6514231170874716,-0.7800888419151306
-0.6681703900727622,-0.7700345516204834
-0.660087745350591,-0.7897052317857742
-0.8590981169982288,-0.7804311215877533
-0.6519963685168693,-0.7838538587093353
-0.6432975079589465,-0.8050713837146759
-0.6507491412841983,-0.7619128227233887
-0.6599092553684595,-0.7826489061117172
-0.6495200199764248,-0.7880533635616302
-0.642466098961097,-0.7892365604639053
-0.6505942698770091,-0.7809121757745743
-0.6510581892840799,-0.7844735682010651
-0.6508508766272028,-0.7580641061067581
-0.6602821623400827,-0.7792663425207138
-0.6500455592826161,-0.7861494272947311
-0.6677588588650798,-0.7580069601535797
-0.6598486834491979,-0.7800366580486298
-0.6519295963582277,-0.7829113453626633
-0.661131193234646,-0.7886365056037903
-0.6513530879131478,-0.7809623777866364
-0.6432577920772825,-0.8013990521430969
-0.6572063591112838,-0.7736575752496719
-0.658658500847322,-0.7778249830007553
-0.642466098961097,-0.7810830026865005
-0.660336610817153,-0.7727883905172348
-0.6591738354838963,-0.7789242565631866
-0.6516439715343608,-0.7671028971672058
-0.6616609272005193,-0.7888396084308624
-0.6509808582190204,-0.780533641576767
-0.6500401648758534,-0.785571277141571
-0.6671960593754647,-0.7572983056306839
-0.6601345929844746,-0.7782591283321381
-0.642466098961097,-0.8001581579446793
-0.6599477737126381,-0.7680987864732742
