u,J~
-0.7476121608362161,-1.0
-0.7476121608362161,-1.0
-0.7476121608362161,-1.0
1.058645116237421,-0.5673472583293915
1.0590264932124553,-0.5673472583293915
1.0567461359036692,-0.5712206661701202
1.0439762320184416,-0.5970017611980438
1.0412233473473955,-0.6126603484153748
1.0467428657607043,-0.629870593547821
1.0515880808290223,-0.6465401351451874
1.054759869990539,-0.6622107028961182
1.0568788819067805,-0.6748809218406677
1.0581076534373042,-0.6884563267230988
1.0589369083463314,-0.6996829211711884
1.0596204923936223,-0.7109372317790985
1.0599610618166382,-0.728227972984314
1.0594393634011539,-0.7395131886005402
1.034531647972839,-0.7299685478210449
0.9740760718251673,-0.7377557456493378
0.9146242679057157,-0.7303814888000488
0.8585582616472963,-0.7342416346073151
1.0595701826111332,-0.7385236024856567
0.8070078174951543,-0.7388211488723755
0.764727528666893,-0.7533541619777679
0.7568432792167462,-0.7530942112207413
0.756006575200973,-0.7557224184274673
0.7575818455459125,-0.7544106543064117
0.7678147035588129,-0.7523223459720612
0.7374881822040146,-0.7528841346502304
0.7243191404796493,-0.7698247730731964
0.7191244938653314,-0.7696193307638168
0.7140489905268977,-0.7696193307638168
0.7113752258902566,-0.7671337574720383
0.6997424014680192,-0.7814380824565887
0.9343255894847029,-0.7806321829557419
0.6983734290842517,-0.7799886763095856
0.6949613409858405,-0.7824524790048599
0.6819147609113841,-0.798663854598999
0.9062658697211907,-0.784759983420372
0.6870349845367771,-0.7814978361129761
0.6831177132883552,-0.7800031900405884
0.6715574502639114,-0.7922289818525314
0.6802347553169941,-0.7891424894332886
0.6768092767839038,-0.7871527373790741
0.6648346303572736,-0.8009363561868668
0.6729280689108764,-0.7964414209127426
0.6699453300724004,-0.8060538917779922
0.6582520211736607,-0.8060538917779922
0.6665761283465317,-0.8020394295454025
0.6627543954767088,-0.7988167256116867
0.6518051779504931,-0.8104905784130096
0.659923483299792,-0.8067730218172073
0.6564694991672949,-0.8031448423862457
0.6470724355014232,-0.8146457523107529
0.6550497685364299,-0.8107832074165344
0.6559663512592988,-0.807844340801239
0.6455529821049147,-0.8247013539075851
0.6537928421038275,-0.8080809563398361
0.6535670208022291,-0.8047863095998764
0.6456161427431785,-0.8165723383426666
0.653055431470382,-0.813258484005928
0.6557052024288381,-0.8077647238969803
0.6550083096103357,-0.8230007290840149
0.6595213673231062,-0.8230007290840149
