u,J~
-0.3533006662128996,-0.5
-0.3533006662128996,-0.5
-2.178901186437033,-0.4852345148101449
-1.3080116944187155,0.07794171571731567
-1.0897047244241063,0.07515305280685425
-0.8994168396423287,0.06692308187484741
-0.7053359830092587,0.0453261137008667
-0.6019231560811192,0.03216433525085449
-0.5671225373838931,-0.011291474103927612
-0.5671225373838931,-0.016596496105194092
-0.47035005866373075,-0.036876171827316284
-0.3943765449710708,-0.08490905165672302
-0.34204182090602364,-0.10742178559303284
-0.34204182090602364,-0.10742178559303284
-0.24668362984148018,-0.10951739549636841
-0.27896218611732704,-0.2084764838218689
-0.2678510057953637,-0.21372172236442566
-0.2681695252740608,-0.19418096542358398
-0.3315495235509419,-0.22363772988319397
-0.20370633983701902,-0.3100382089614868
-0.20253932126927116,-0.3100382089614868
-0.20253932126927116,-0.29007376730442047
-0.18472020997294927,-0.3223336488008499
-0.16964761673343026,-0.3709106296300888
-0.17431744003462915,-0.3709106296300888
-0.17431744003462915,-0.3709106296300888
-0.18533411348903142,-0.39280763268470764
-0.18533411348903142,-0.39280763268470764
-0.1704476717918547,-0.4162277951836586
-0.1704476717918547,-0.41924554109573364
-0.17623372423470213,-0.41804660111665726
-0.17623372423470213,-0.4060932621359825
-0.18858828681076578,-0.42842916399240494
-0.19284977847883975,-0.42842916399240494
-0.17080831009633418,-0.4333968013525009
-0.17347908215867971,-0.4404607303440571
-0.1789411699165384,-0.4243960827589035
-0.18365015149528718,-0.4243960827589035
-0.18945473599149584,-0.42980702221393585
-0.1956419844928845,-0.4360996335744858
-0.1698156973004589,-0.44880183041095734
-0.17475715196764546,-0.44880183041095734
-0.17989886521341586,-0.4220150485634804
-0.18586487355356046,-0.4281955808401108
-0.18957931213655488,-0.4349308982491493
-0.16996332058022645,-0.4405009038746357
-0.17286141798186702,-0.4453301206231117
-0.17966778063276928,-0.4194178655743599
-0.18387879731919923,-0.42770174890756607
-0.18842356406212057,-0.4325147941708565
-0.18732431450001033,-0.43746329098939896
-0.1722479264750985,-0.4449782930314541
-0.17506134409787932,-0.4482356272637844
-0.17991582583298255,-0.4218757897615433
-0.1874728123915043,-0.427700936794281
-0.1874728123915043,-0.4402954839169979
-0.19772960019872435,-0.4402954839169979
-0.1730839334979653,-0.44565192610025406
-0.1730839334979653,-0.4516800194978714
-0.17890836345825678,-0.4261798560619354
-0.18435470379209912,-0.4295571967959404
-0.18910261282187885,-0.4357925280928612
-0.1666689507241717,-0.4501168951392174
-0.17166848939272608,-0.4501168951392174
-0.17166848939272608,-0.42039375752210617
-0.1826494189190932,-0.4278184622526169
-0.1826494189190932,-0.44057224690914154
-0.1700559687093094,-0.44057224690914154
-0.1700559687093094,-0.418106310069561
-0.17701337326591032,-0.4229796677827835
-0.18238670825831474,-0.4229796677827835
-0.18809960998294512,-0.42926713079214096
-0.19198259030794348,-0.4355506971478462
-0.17198635894312864,-0.4416104331612587
-0.17454007616537587,-0.44685035571455956
-0.17967101181633066,-0.42004425823688507
-0.18517534041689854,-0.4262279346585274
-0.1947940108322525,-0.4324740543961525
-0.23339775800724227,-0.44252438843250275
-0.17251706199825587,-0.4451638236641884
-0.17511646120526006,-0.4348299130797386
-0.18041261809761328,-0.42456158995628357
-0.18041261809761328,-0.44080236926674843
-0.1918744131499075,-0.44080236926674843
-0.19659524685274876,-0.44318702816963196
-0.17256541335588668,-0.4480821304023266
-0.1751841681975355,-0.4372634291648865
-0.18122224650459567,-0.42703190445899963
-0.18637193902599236,-0.4342188760638237
-0.19216910844312937,-0.439921248704195
-0.17010519817863431,-0.4444979093968868
-0.17010519817863431,-0.43349476903676987
-0.17261942377599465,-0.42361463606357574
-0.18300105461574714,-0.42972929030656815
-0.1887115276037023,-0.4360337108373642
-0.1887115276037023,-0.44199658185243607
-0.19972660839858097,-0.4469226039946079
-0.17532423219353924,-0.43590696156024933
-0.17532423219353924,-0.4425121583044529
-0.1833547459686511,-0.4318038821220398
-0.1887362693088167,-0.4380112253129482
-0.1887362693088167,-0.435027651488781
-0.20109216065849894,-0.435027651488781
-0.17297503337575743,-0.4368501529097557
-0.17510085672989992,-0.4438035525381565
-0.17983564345061454,-0.43289918452501297
-0.17983564345061454,-0.4438934177160263
-0.1841940268353207,-0.4438934177160263
-0.1697360615325555,-0.4328395053744316
-0.17228965743266358,-0.4384918510913849
-0.17228965743266358,-0.4381907507777214
-0.18321929846607618,-0.4381907507777214
-0.18849740694660433,-0.4401794448494911
-0.17011609511452147,-0.4445037208497524
-0.1726966893699462,-0.4336659833788872
-0.17748439573132824,-0.429838202893734
-0.18292195275855128,-0.429838202893734
-0.1887666375509845,-0.43600695580244064
-0.1928291061026877,-0.44159457460045815
-0.1723158030688638,-0.43142959475517273
-0.1751949366284862,-0.4370253160595894
-0.1751949366284862,-0.4273461028933525
-0.1856278135997848,-0.43668848276138306
-0.1914458858188836,-0.43901602178812027
-0.1972386041783383,-0.4350096210837364
-0.20293046453677982,-0.4350096210837364
-0.1749835018707417,-0.43995482474565506
-0.177642458705267,-0.4453531987965107
-0.177642458705267,-0.4408520869910717
-0.187371689483054,-0.4408520869910717
-0.16785137936341832,-0.44566820189356804
-0.17039438651042796,-0.45058440417051315
-0.17539249852509864,-0.42414746433496475
