dJ1dp,dJ2dp,u,J~
-0.007853981747033445,0.15550094514227028,-0.4425875021105258,0.3141592741012573
-0.007853981747033445,0.15550094514227028,-0.4425875021105258,0.3141592741012573
-0.007853981747033445,0.15341530064444556,-0.42930453314463973,0.30229976773262024
-0.20315576781254688,3.025925266329888,-1.999129091556037,5.808804988861084
-0.25183281126695994,3.0205128174303733,-2.0000000218085834,5.806735038757324
-0.3621424819538685,2.8213301677658613,-1.997477454208361,5.803155899047852
-0.4435325514025106,2.6912217557282645,-1.9936322303554013,5.803155899047852
-0.5101128640121436,2.5637957019984823,-1.9961553030167094,5.784893989562988
-0.514851565104924,2.441315319495499,-1.9932750117372455,5.763047695159912
-0.619824126771663,2.3123067101631025,-1.9947655324897884,5.720937728881836
-0.7508833237724437,2.1825416942582465,-1.9979927882420407,5.720937728881836
-0.7508833237724437,2.178919756703902,-1.9978085855799983,5.677613735198975
-0.8723865807187999,2.0545651669415226,-1.9999848533803548,5.677613735198975
-0.8814987711406955,1.9347122646482964,-1.9454399005643457,5.647655963897705
-0.5522015348873276,1.7773522465548566,-1.9776112425985173,5.647655963897705
-0.5876891879534786,1.57589398243444,-1.9836483149822033,5.530965805053711
-0.7716600355514858,1.5681256332335138,-1.9978406305866039,5.530965805053711
-0.7560783373360106,1.4515449381372045,-1.9982039695710827,5.494260787963867
-0.8480639015751497,1.407255384110012,-1.941721660903034,5.494260787963867
-0.6635058662803152,1.1731264263770564,-1.9997305954315563,5.422719478607178
-0.6353563132854878,1.0552586475440313,-1.9999994634723426,5.422719478607178
-0.6596862335225263,0.8636322217689988,-1.9997409676034015,5.31860876083374
-0.6820217184539383,0.7465934179028167,-1.999866694232509,5.273540019989014
-0.6019715677405832,0.7018040780558895,-1.994584708298851,5.258405685424805
-0.64346678916143,0.5856433116051722,-1.9996952218128128,5.231395721435547
-0.6170639519259554,0.403273819808721,-1.999512965291451,5.187601089477539
-0.620164602346122,0.29005565843813463,-1.9981831796715213,5.159435749053955
-0.6369089838458346,0.17777781650231417,-1.9951592484369072,5.159435749053955
-0.6729276017412189,0.06663574928393849,-1.9997768596982872,5.1004133224487305
-0.6738488272366923,-0.043867530800887095,-1.9996683446065875,5.07269287109375
-0.6639964349089623,-0.09366917350292088,-1.9995767071279136,5.042381763458252
-0.6795810804947486,-0.20368597725687146,-1.9994444440233345,5.027705669403076
-0.7553491234663806,-0.26171531596609615,-1.980353229303446,5.010929107666016
-0.2829348166333285,-0.476929736997953,-1.9988163049290923,4.975764751434326
