u,J~
-3.1838209367166055,-1.0
-3.1838209367166055,-1.0
-3.8651682553588165,-0.9762809760868549
-3.0825586020205087,-0.5685637891292572
-2.5959282798943537,-0.5854565799236298
-2.3501206725471184,-0.5618728697299957
-1.9536422242794858,-0.5506835579872131
-1.9227912271338616,-0.5578170716762543
-1.9836201490694494,-0.543672114610672
-1.8866790998127576,-0.5463243126869202
-1.7835356242968405,-0.544110894203186
-1.753645905939472,-0.5456379950046539
-1.5523727206550033,-0.559830516576767
-1.4437860943717327,-0.5709885060787201
-1.3699206889020488,-0.554009884595871
-1.2386037490618287,-0.5612185001373291
-1.2257873909560177,-0.5637116432189941
-1.1678365679199927,-0.5722668170928955
-1.1440982491192113,-0.5785292387008667
-1.0948633114507533,-0.5997240245342255
-1.079604531276047,-0.5800270736217499
-0.9947178754711222,-0.6036553978919983
-0.9402634869839022,-0.6065051555633545
-0.9084105076376225,-0.6201917231082916
-0.8959740457358149,-0.6103750765323639
-0.8394627447273061,-0.6298497319221497
-1.2674535245522218,-0.6119914352893829
-0.7949988806482406,-0.6538640260696411
-0.7726435745385322,-0.669233113527298
-0.7744306719259355,-0.6656831800937653
-0.7546054237741169,-0.6742658019065857
-0.7140318252394408,-0.6794614493846893
-0.6949288394482208,-0.6961475610733032
-0.677899085420687,-0.6880389153957367
-0.6603496647658833,-0.7111603319644928
-0.6571864731355191,-0.7102404236793518
-0.6592562925656468,-0.7249564230442047
-0.6510324222325387,-0.7216756343841553
-0.6510658985774245,-0.7350435853004456
-0.6666984349782431,-0.732289582490921
-0.6609139090077634,-0.740709513425827
-0.6500744708035932,-0.7573285698890686
-0.6689467539189823,-0.748788595199585
-0.6595620684924234,-0.7600809633731842
-0.6518646626654694,-0.7664750665426254
-0.6641941466535801,-0.7607457637786865
-0.6577213743048874,-0.7770569324493408
-0.6506772883507803,-0.7683622241020203
-0.6591924760829216,-0.7745240479707718
-0.6536379596609638,-0.7810887396335602
-0.6616963690891433,-0.7930996119976044
-0.6518279360166434,-0.7833384573459625
-0.6506396314295058,-0.7738858908414841
-0.6682526525990014,-0.7774426341056824
-0.6603927849051915,-0.7841939628124237
-0.6431902680044272,-0.8040791153907776
-0.6560798954229572,-0.7739830762147903
-0.6618973982973625,-0.7775275260210037
-0.6517564573478399,-0.7886588275432587
-0.6587432176137669,-0.7945418655872345
-0.6513652810834307,-0.7787415087223053
-0.6492601975232171,-0.7842332422733307
-0.6712576838470432,-0.7692815661430359
-0.659992869565007,-0.7944496423006058
-0.642466098961097,-0.7940903902053833
-0.6644647118755231,-0.7676625549793243
-0.6621670259909129,-0.7934885770082474
-0.6508513758066736,-0.7819492816925049
-0.6664504607954175,-0.7703888714313507
-0.6596926736310452,-0.7886339575052261
-0.6503220830733978,-0.779884859919548
-0.6711144310522046,-0.7680601924657822
-0.6611958852393724,-0.7767656296491623
-0.6505628888979254,-0.7811137586832047
-0.6688330804879713,-0.7691072225570679
-0.6598280205340907,-0.7907261103391647
-0.8717290714540852,-0.7794104665517807
-0.6583062145055378,-0.7805424779653549
-0.6538830105566478,-0.7843346893787384
-0.6494983118507209,-0.7792948633432388
-0.6575662997277182,-0.7966372966766357
-0.677193690961708,-0.7833907455205917
-0.6618625540374294,-0.7892758995294571
-0.6497988750329337,-0.7963605672121048
-0.6661831799756209,-0.7823127210140228
-0.6601347704231249,-0.7858942896127701
-0.6502107976433391,-0.7920211851596832
-0.6590094010014558,-0.7948531359434128
-0.6526482475519166,-0.7834780514240265
-0.6503408973312518,-0.7911899387836456
-0.6609620748570265,-0.7942482829093933
-0.650133667726889,-0.7861774861812592
-0.642466098961097,-0.8036230355501175
