dJ1dp,dJ2dp,u,J~
-0.0035342917861650456,-0.0015786897983986546,-0.2195530355983361,0.3141592741012573
-0.0035342917861650456,-0.0015786897983986546,-0.2195530355983361,0.3141592741012573
-0.0035342917861650456,-0.0019235629052176682,-0.21920995879150798,0.3141592741012573
-0.0035342917861650456,-0.0033025164286980572,-0.9832762937944384,5.661149978637695
-0.08625692684643918,-0.06653798578584275,-0.9958797418203348,5.661149978637695
-0.1537410475659362,-0.1039595070695504,-1.0000000020026167,5.661149978637695
-0.19550553298611598,-0.22766311341335543,-0.9982339123915049,5.661149978637695
-0.3433683322829631,-0.28815549130983664,-0.9981610966553428,5.630529403686523
-0.5010460198374783,-0.28726604069087236,-0.997697246821184,5.619114398956299
-0.6074698758208593,-0.3477634826183161,-0.9989750313375235,5.612617015838623
-0.7297974246086053,-0.4076757862309501,-0.9997203910795087,5.605276107788086
-0.7776734686862417,-0.4668282903420666,-0.9998216457573176,5.605276107788086
-0.9345631073170119,-0.5848586531702888,-0.999998832959655,5.559937953948975
-1.0065965156459535,-0.5844958327870812,-0.9999987445217153,5.559937953948975
-1.1078277418030014,-0.6423967177488755,-0.9959279018425219,5.526656627655029
-1.1667515540836233,-0.7577186860584345,-0.9795928781288388,5.514988899230957
-1.2441730174963024,-0.7577186860584345,-0.9856435220936389,5.490105628967285
-0.8932915780077835,-0.8141107004005963,-0.9999988523308205,5.463549613952637
-1.426403362406553,-0.8690288809336744,-0.9966486286274476,5.463549613952637
-1.48714681070997,-0.925527092456198,-0.9983132723712312,5.418935298919678
-1.5550883630911,-1.037919475557204,-0.9993121797131039,5.387990474700928
-1.5550883630911,-1.037344223259016,-0.9993338031588079,5.387990474700928
-1.5550883630911,-1.079846420355723,-0.9994691026268007,5.32578706741333
-1.51393584556153,-1.1340329955430375,-0.9994398559813121,5.279134273529053
-1.5550883630911,-1.1888373951544318,-0.9736940553569244,5.279134273529053
-1.5550883630911,-1.2436656894170985,-0.976654009409162,5.279134273529053
-1.5550883630911,-1.2977869970657627,-0.9793501328375523,5.279134273529053
-1.5396592389510992,-1.3655586460740758,-0.9841494318727051,5.170278072357178
-1.5550883630911,-1.401498612024985,-0.9873660509244672,5.123468399047852
-1.5258307505346191,-1.4009503864576138,-0.9853033352192546,5.123468399047852
-1.5208466237511122,-1.4530611812456788,-0.9870641338225556,5.107917308807373
-1.5550883630911,-1.5057595293250825,-0.9923779613212735,5.092366695404053
-1.5550883630911,-1.5565012033630559,-0.9941172323861025,5.045870780944824
-1.5550883630911,-1.6073213545715694,-0.9955609061147079,5.030320167541504
-1.5550883630911,-1.658806102655928,-0.9967487343428589,4.999218463897705
-1.5550883630911,-1.7101357048685144,-0.9976854417499393,4.968836784362793
-1.5550883630911,-1.761367458919937,-0.9984173242857597,4.937735080718994
-1.5550883630911,-1.813163412615526,-0.9988017975047783,4.937735080718994
-1.5550883630911,-1.8621593190365096,-0.999233092683002,4.84501838684082
-1.5487761444164785,-1.9611890787403357,-0.9996029682949392,4.829912185668945
-1.5550883630911,-1.9859980371922403,-0.9996787509972916,4.799062728881836
-1.5394129969228263,-2.008333231916659,-0.9996735302130049,4.752410411834717
-1.516665911826938,-2.058455651724783,-0.9996153391397663,4.7057576179504395
-1.5550883630911,-2.1035737735526125,-0.9945526126850015,4.7057576179504395
-1.5550883630911,-2.1760836661436795,-1.0000000081933798,4.690206527709961
-1.5550883630911,-2.225084996833133,-1.0000000215420481,4.690206527709961
-1.5002781396644553,-2.2740957797332118,-0.9864265460280833,4.690206527709961
-1.4098747719442086,-2.3472022960762025,-0.9995695850168551,4.581350326538086
-1.5018242019605161,-2.386018766082722,-1.0000000070709705,4.565799713134766
-1.5111263947780496,-2.385301646633191,-1.0000000226845087,4.534698009490967
-1.4949082742992974,-2.4270864572563156,-1.000000013762078,4.4880452156066895
-1.4639435650819668,-2.4748014503461904,-0.9936380070108115,4.4880452156066895
-1.4160195932918587,-2.5460876306224987,-0.9997175198578642,4.472494125366211
-1.3849441236209665,-2.5909773258747655,-0.9996011599947604,4.425841808319092
-1.3990226854481667,-2.634346338288171,-0.9996797829623157,4.394739627838135
-1.3958724259545223,-2.6764384741887173,-0.9996681457274796,4.348087310791016
-1.3965808023408839,-2.714805965749073,-0.9996623455206118,4.317657947540283
-1.353053161239085,-2.7610842966351954,-0.9995605769609968,4.286556243896484
-1.3317207764418553,-2.801151858339459,-0.9993641331230495,4.24074649810791
-1.3733618383895858,-2.8097646475316997,-0.9995493100504684,4.210359573364258
-1.423047869404213,-2.845404133323141,-0.9996231122448032,4.210359573364258
-1.4454887986619225,-2.883784586930891,-0.9996612916421362,4.1637067794799805
-1.4593991132067474,-2.910157883409182,-0.9995920938695038,4.148155689239502
-1.4974242161713878,-2.948519278224784,-0.9995822703146667,4.101503372192383
-1.4775140218133787,-2.9877708071293716,-0.9992108079028515,4.085952281951904
-1.5039699363207366,-2.9890400259891625,-0.9991225484348829,4.070401668548584
-1.5032482649348775,-3.020814113542393,-0.9984778290490594,4.0548505783081055
-1.5550883630911,-3.09077284316044,-0.996332365331278,4.023748874664307
-1.5550883630911,-3.089982779060269,-0.9963484891288743,4.023748874664307
-1.5506735842743617,-3.122916076365424,-0.9934612878272082,3.9770960807800293
-1.5550883630911,-3.1596400242636347,-0.99216062526297,3.9770960807800293
-1.5378048674014477,-3.2012406093988477,-0.9904798078560582,3.96154522895813
-1.5372425450987512,-3.278185645228308,-0.9874567722267693,3.96154522895813
-1.5508122455015168,-3.3103737066948327,-0.9994438843156195,3.883790969848633
-1.5550883630911,-3.3068939395859767,-0.9989274872686925,3.8371381759643555
-1.5550883630911,-3.3838546714507935,-0.9979541466846157,3.821587324142456
-1.5550883630911,-3.378609770824614,-0.9980160039821404,3.7593839168548584
-1.5514481547779402,-3.366606113577389,-0.9955248660280777,3.7593839168548584
-1.5532682589345204,-3.406659791886964,-0.9929998410835409,3.74383282661438
-1.5550883630911,-3.4349386355969247,-0.9998225906185448,3.712731122970581
-1.5541375870307992,-3.507137744512369,-0.9997448611077897,3.6816294193267822
-1.5550883630911,-3.499475431912588,-0.9998729659414132,3.6505277156829834
