u,J~
1.4613241476694672,-2.0
1.4613241476694672,-2.0
6.6595196748040495,-1.4390977025032043
6.460473522510404,-1.4390977025032043
4.9292475379895375,-1.411681056022644
3.2709212664003564,-1.4309964179992676
3.3568330662764927,-1.4433767795562744
3.549626792674272,-1.4272977709770203
3.80418992153886,-1.4156110286712646
3.2909585524049376,-1.4450262784957886
3.1234871511608766,-1.4450262784957886
2.9244552068868575,-1.4437796473503113
2.8981666822972545,-1.4438716769218445
2.8211904736340823,-1.4473967552185059
2.56433062518026,-1.4583268761634827
2.402893301226789,-1.4539531469345093
2.497454701420538,-1.4667905569076538
2.1423081330484095,-1.4654223918914795
2.1896753162913853,-1.4631322622299194
2.0049431459225597,-1.4807552695274353
1.9961642404889237,-1.4643633961677551
1.9997881003566855,-1.492891550064087
1.8385879982560143,-1.492473304271698
1.7313466384838243,-1.49800306558609
4.459851208300538,-1.503322422504425
1.7621285739412662,-1.5316661298274994
1.8483410120563286,-1.5143436193466187
1.607018716916976,-1.5172821283340454
1.4904925653084198,-1.5208625793457031
1.5105350338781747,-1.537483125925064
1.4881461204643367,-1.5434980690479279
1.4509097537857736,-1.5325458943843842
1.4292274436164312,-1.5529420375823975
1.4358579707769943,-1.5643362998962402
1.3596516962278877,-1.5643362998962402
1.296925215638632,-1.5574938654899597
1.2056051709768838,-1.5887131989002228
1.2140398656334195,-1.570769041776657
1.135424034249319,-1.5817097127437592
1.0106897676058886,-1.6158306002616882
1.0635140888960044,-1.6285135746002197
1.0184709051003396,-1.619458943605423
-1.7622019744933473,-1.648473709821701
0.9646637736327502,-1.650917649269104
1.032720489379546,-1.6628145277500153
1.062591722445417,-1.7057166993618011
-3.212990521224544,-1.7538120299577713
1.0529669627694318,-1.758216992020607
1.191670617536316,-1.7814878970384598
1.1070505457374276,-1.8192404955625534
-9.012315917408085,-1.8617692291736603
1.3626093947648674,-1.86753548681736
4.530158654348149,-1.8659972101449966
1.2543892499244669,-1.905559092760086
-5.929013528003969,-1.9393346570432186
1.1656119013389992,-1.9276221469044685
1.7987210962945483,-1.925356701016426
-9.975651817200234,-1.9406094700098038
2.084298051234888,-1.9730332754552364
10.053416712441365,-1.951238289475441
-5.929013528003969,-1.9684029705822468
-5.929013528003969,-1.9848747989162803
-1.9867883314255943,-1.967279739677906
-1.4282664179654305,-1.9716913141310215
-1.3249070770691977,-1.9664953351020813
-1.3014771249031163,-1.9385831505060196
-1.2488467530784924,-1.9152433201670647
-1.217529889540716,-1.9076243340969086
-1.2220307144599618,-1.8987913727760315
-1.196662774115409,-1.9008553549647331
-1.5602126324563337,-1.892249345779419
-1.1773719836152652,-1.8930301889777184
-1.1429136072908175,-1.893771506845951
-1.137995933252765,-1.8846955448389053
-1.056546158159214,-1.8866483941674232
-1.0572946476718648,-1.893561691045761
-1.0498358160667738,-1.8865233063697815
-1.0625543804047886,-1.8714832216501236
-1.0529617767405786,-1.8711362928152084
-1.0485345747976298,-1.8699106723070145
-1.0518541257025749,-1.8678218573331833
-1.0571261412804658,-1.8660761564970016
-1.0617651238591086,-1.8645050674676895
-1.0755305333725622,-1.8700063079595566
-1.0581502493219046,-1.8622201085090637
-1.0259240817442619,-1.868677943944931
-0.9975773080893394,-1.8655598163604736
-0.9709589827340388,-1.8633876144886017
-0.9690140914288512,-1.8717143833637238
-0.9542074005030092,-1.8704658448696136
-0.9302427961829537,-1.8662533164024353
-0.9252961116312783,-1.8615558743476868
-0.9185020749693271,-1.8579296916723251
-0.911824042034252,-1.8545267879962921
-0.9418096444792459,-1.8492263406515121
-0.938114003637032,-1.8520266264677048
-0.9339786977030717,-1.8520001322031021
-1.2528378151864827,-1.8485423028469086
-0.9016149999993611,-1.852091521024704
-0.90222820931288,-1.846321940422058
-0.8860427625836833,-1.8382563143968582
-0.9021980138195163,-1.8345651775598526
-0.9047523521771527,-1.8333644568920135
-0.8715663016124982,-1.8399259150028229
-0.8533776936316358,-1.849060907959938
-0.8512953763532096,-1.8441812545061111
-0.8434508718332693,-1.8406395614147186
-0.8443019253116752,-1.836319848895073
-1.1308230435656232,-1.8308415561914444
-1.1325687429419231,-1.8276024460792542
-0.8495521473192083,-1.8367984741926193
-0.8508294187533196,-1.8460611402988434
-0.859456210411781,-1.8333934545516968
-0.8588996045691096,-1.8083884418010712
-0.8342612284276063,-1.8376851230859756
-0.8301350185421876,-1.8377719968557358
-0.8165311731449001,-1.830791175365448
-0.816330430162088,-1.824599251151085
-0.8283786476093333,-1.8155995607376099
-0.8194990358187606,-1.8155995607376099
-0.8020538335730737,-1.8370539098978043
-0.7965204527792167,-1.8303875923156738
-0.7917014164467682,-1.824650526046753
-0.803758114317919,-1.8192416429519653
-0.8041364661950826,-1.8274167627096176
-0.7712719662677837,-1.8410196602344513
-0.7768564846062902,-1.8279266059398651
-0.782802772479668,-1.823180690407753
-0.7912043107369438,-1.823180690407753
-0.8080351064403739,-1.8242935538291931
-0.8015342504770281,-1.8393492549657822
-0.8009077057703333,-1.8274529874324799
-0.8010282029022734,-1.8248116821050644
-0.8195868373192026,-1.8114082217216492
-0.8086191109570855,-1.8262424767017365
-0.8002114908785994,-1.824242115020752
-0.7997097844200071,-1.8182018250226974
-0.8126681497266295,-1.806237056851387
-0.8231018049904956,-1.827151894569397
-0.7970160101594619,-1.8224847912788391
-0.7801703295370709,-1.8204271495342255
-0.7711883678701766,-1.8163722157478333
-0.7622331447413057,-1.8220432847738266
-0.771951451064313,-1.8104915022850037
-0.7699131275751566,-1.813902035355568
-0.7565258619981665,-1.8136111944913864
-0.7516694570463327,-1.8273653090000153
-0.7641201825754751,-1.813389390707016
-0.7592947977152795,-1.8078242987394333
-0.7453753435989835,-1.826676458120346
-0.7489694585339127,-1.822438046336174
-0.7601297012415235,-1.8076407611370087
-0.7534089792197066,-1.8136969357728958
-0.735390974557723,-1.8183488994836807
-0.7290141040593893,-1.8114447593688965
-0.740076336429278,-1.8074496686458588
-0.7214296999918879,-1.813226118683815
-0.712405533564586,-1.809116080403328
-0.7005522490286941,-1.7995143681764603
-0.7101282638935389,-1.7950012534856796
-0.6985515755703275,-1.7950012534856796
-0.6846138354174744,-1.8004829585552216
-0.6954653480360838,-1.8052862733602524
-0.6918585008874899,-1.7838925272226334
-0.6838488859661922,-1.8080206513404846
-0.6902302765514725,-1.7959885895252228
-0.6969050470820971,-1.79463629424572
-0.6912699647278551,-1.8002662509679794
-0.6977387331322692,-1.7975427210330963
-0.7033591518757868,-1.7972131669521332
-0.6993253544931034,-1.8005447387695312
-0.7027086188695584,-1.7912009507417679
-0.7160403538837957,-1.7827904224395752
-0.7123612604638327,-1.7958838194608688
-0.7105470816966387,-1.7941375225782394
-0.7225166889151255,-1.7835310101509094
-0.721533714087349,-1.7835310101509094
-0.7185219012054128,-1.7979048192501068
-0.9629163462308418,-1.7891730964183807
-0.732705137684067,-1.7812046855688095
-0.7364295815789765,-1.7746190577745438
-0.7307627390426292,-1.7947078347206116
-0.7349362617135619,-1.7737874686717987
-0.7411196207231447,-1.7877179682254791
-0.7492273336751392,-1.7733515948057175
-0.7434280304839617,-1.7943673580884933
-0.7477479622890778,-1.788153201341629
-0.758518249564419,-1.7812086343765259
-0.7620302644291198,-1.7770675122737885
-0.7565402845918856,-1.7845663726329803
-0.7610144829753339,-1.791187658905983
-0.7687635582428567,-1.7938071489334106
-0.7740608212326623,-1.782929390668869
-0.7701236373466323,-1.7871628105640411
-0.7747605347553923,-1.7911560833454132
-0.7835439650344327,-1.7943074703216553
