dJ1dp,dJ2dp,u,J~
-0.00785398174703344,0.21833279911853784,-0.21833279909140996,-0.6858407258987427
-0.00785398174703344,0.21833279911853784,-0.21833279909140996,-0.6858407258987427
-0.00785398174703344,0.21730393002723228,-0.21730392999930373,-0.7064181566238403
-0.15376744750261478,4.325757773335114,-14.746520477292378,4.871636867523193
-0.2548994002729208,4.1553474452449874,-9.372775428062551,4.871636867523193
-0.30773899571794017,3.8375217359243807,-7.7894601780244805,4.856405735015869
-0.3637943144851165,3.521097247773635,-6.5766641128875065,4.825935363769531
-0.4264299951261907,3.205796424141837,-5.662486364585912,4.789926528930664
-0.35187329045561955,2.892057271629868,-6.671622891798652,4.747786998748779
-0.3603649292858217,2.580003515826559,-6.455832435425199,4.705804824829102
-0.36961306669518607,2.269487509911264,-6.338155925382482,4.667361259460449
-0.37601385338537646,1.9608532154112304,-6.161312685257463,4.627716541290283
-0.382684948949508,1.654071967337649,-5.987014544913552,4.587367534637451
-0.3889836590678508,1.3491966346215802,-5.825001628698135,4.546271800994873
-0.3954690581309006,1.046305086513641,-5.665862028355198,4.504376411437988
-0.40207131462192924,0.7455120700160413,-5.510638341411088,4.461778163909912
-0.37827514086507513,0.44685840361376755,-5.791266815613394,4.418466091156006
-0.34585055924762353,0.150387355143717,-6.26476806548158,4.375512599945068
-0.3209906488358921,-0.1439259449437757,-6.682348863555931,4.335550785064697
-0.28109723423374694,-0.4363835084187512,-7.584364040203978,4.298154830932617
-0.2748516441922701,-0.7270436086326124,-7.685207671673454,4.264462947845459
0.11901758451703745,-1.0159037724190967,15.36187593220442,4.233053207397461
0.11901758451703745,-1.0154308430331918,15.253814800015466,4.20137882232666
-0.1201645122906025,-0.7289162343097256,-14.887318315002872,4.2163310050964355
-0.12016451229060233,-0.7286887585221413,-14.894451506246654,4.218375205993652
-0.058701167852414846,-1.0113901391485425,-21.140881754982797,4.218375205993652
-0.585280894293771,-1.2924334054541884,-3.5531149503778834,4.200535774230957
-0.6083032457126101,-1.5310176734038619,-3.3819919122004607,4.15493631362915
-0.6284583713242935,-1.722853416777565,-3.258409362573368,4.0732808113098145
-0.5271552501167932,-1.9050505396710247,-3.775094596579497,4.033997535705566
-0.44959868329372593,-2.0968461494117463,-4.38480911849859,4.013678073883057
-0.37351739328111283,-2.3178908875210906,-5.164449230653791,3.949458122253418
-0.372877173516571,-2.570482467949854,-5.121104200916665,3.914938449859619
-0.33347173127310054,-2.8375923422648253,-5.6501762914387985,3.878035068511963
-0.29389223688831934,-3.1023625562530897,-6.328247202187029,3.837240695953369
-0.27492298778112356,-3.3647500275343383,-6.696787218298134,3.801924705505371
-0.2749624982725884,-3.6247108255907055,-6.62030796517487,3.768195152282715
-0.27610118689153534,-3.8819467994430257,-6.520288429552403,3.735995292663574
-0.2747621370125535,-4.13679705966667,-6.481960759441126,3.704442024230957
-0.2757279906380307,-4.388702421193182,-6.389034038454282,3.673031806945801
0.11777365942319366,-4.637964818941829,13.814488490401791,3.6415510177612305
0.11777365942319366,-4.625880904052063,13.69959228260243,3.6100668907165527
-0.11722987521838833,-4.373454239378331,-12.391141173163605,3.6100668907165527
-0.11722987521838833,-4.374224841795617,-12.41868345133095,3.6178841590881348
1.0612182823669438,-4.605825160289458,4.6058250554564735,3.57942533493042
1.021901223782106,-4.604252499885816,4.604252399638611,3.665142059326172
0.040346203898064883,-4.3656489729168575,20.7713639899734,3.665142059326172
0.3524569905557476,-4.133801827253046,5.452270769088938,3.5762739181518555
0.5090441838644952,-3.899598943211585,3.899598935161016,3.5606536865234375
0.5668698479119626,-3.6903707342806524,3.6903707247065807,3.534830093383789
0.46922472410145694,-3.5072801807985448,3.819938129738741,3.509805679321289
0.32218549384743533,-3.3274322064432207,5.3780763620093985,3.483102798461914
0.31560053677230254,-3.1102352196056535,5.444395407043703,3.4613237380981445
0.276948321789104,-2.8927083837952745,6.0760392047464675,3.422764778137207
0.21646627939130286,-2.665577346449055,7.526894658341687,3.3701224327087402
0.1728510036449282,-2.440872116694599,9.100818024375176,3.334784507751465
0.08044991449543316,-2.2186705808770912,15.76646658432604,3.3045411109924316
-0.020186116068258986,-1.998852044531922,-10.210707713360886,3.2772064208984375
-0.020186116068258986,-1.9744775200001248,-9.61080346934418,3.2560324668884277
-0.08077835715907931,-2.1459964356413823,-14.042725215005774,3.2410855293273926
-0.14275168654278597,-2.301614575432691,-9.794169647140416,3.2170963287353516
-0.2545684371769753,-2.4811354254207574,-6.288051557082349,3.194204330444336
-0.27214302211151586,-2.644568653750504,-5.766533107001499,3.171146869659424
-0.23139300601039925,-2.8309563530505724,-6.362704062809534,3.140476703643799
-0.1873380590130316,-3.001366376054656,-7.626678267687156,3.118863582611084
-0.10080502686012349,-3.1939096134519325,-11.726781551257542,3.1024975776672363
-0.06716820999727868,-3.4064501426902924,-14.281050893631239,3.0996432304382324
-0.06716820999727868,-3.385227519817632,-14.222146366076387,3.083402633666992
-0.2970987660629362,-3.5644808825230507,-5.029784195556327,3.0776243209838867
-0.3595102686695232,-3.764292655125367,-4.1019496341993475,3.0482358932495117
-0.47906704968027164,-3.944798076288639,-3.2215217032740244,3.0089807510375977
-0.6766995578817951,-4.101237948584778,-2.163149238430999,2.96661639213562
-0.5070695019320658,-4.194202192941787,-2.8190249453345784,2.924057722091675
-0.3119042460316841,-4.294885346871095,-4.458598998859449,2.8894057273864746
