u,J~
-0.7476121608362161,-1.0
-0.7476121608362161,-1.0
-0.7476121608362161,-0.9881404880434275
-0.7476121608362161,-0.9881404880434275
-0.7476121608362161,-0.9882190274074674
-0.7476121608362161,-0.9882190274074674
-0.7476121608362161,-0.9882975677028298
-1.0491777850449453,-0.8117766976356506
-1.057959113569813,-0.8290065228939056
-1.059119827693102,-0.8290065228939056
-1.0597862698123073,-0.8224642127752304
-1.0599145131082168,-0.8475655019283295
-1.0588361674620794,-0.838165745139122
-1.05948301972911,-0.8330522924661636
-1.0216184946646207,-0.8508976548910141
-1.0039689969558956,-0.8605839163064957
-1.011811995477016,-0.8442801833152771
-1.0197464263039973,-0.8232065290212631
-1.0278177137137379,-0.8243537545204163
-1.0360788006966994,-0.804341271519661
-1.0444663512014696,-0.8097319304943085
-1.0529942011196827,-0.7867750972509384
-1.0599678544389208,-0.7867750972509384
-1.0595773474492074,-0.7842923104763031
-1.059908567834121,-0.7818306088447571
-1.0597990623712974,-0.7926544845104218
-1.059511274185238,-0.7829619497060776
-1.0595735674773952,-0.7822481691837311
-1.0595113298750607,-0.7911402136087418
-1.0595442495728282,-0.7975521236658096
-1.0596954990233576,-0.7993125468492508
-1.0595903864169383,-0.8053278923034668
-1.059435372270076,-0.7962333858013153
-1.0593439921671752,-0.7957503348588943
-1.0593533986765975,-0.8105788677930832
-1.0591190870115834,-0.8111612200737
-1.0590715567292364,-0.8111612200737
-1.0591181537613472,-0.8129638880491257
-1.0590556553707957,-0.8108852207660675
-1.058881094563532,-0.8108852207660675
-1.0589271246400347,-0.8173535466194153
-1.058245296411297,-0.8105028122663498
-1.0502103787912203,-0.8063148856163025
-1.058232514244505,-0.8067049980163574
-1.0582465254346127,-0.8031807392835617
-1.0581507318970833,-0.8116033375263214
-1.0581450233193372,-0.8194618970155716
-1.0579541165902187,-0.8194618970155716
-1.057788103889189,-0.8192459642887115
-1.057636944199185,-0.8142879754304886
-1.0574503245224371,-0.8178478181362152
-1.0573341426794123,-0.8203156292438507
-1.0574892103216458,-0.8228468149900436
-1.0569734573892926,-0.8376978635787964
-1.057141207131778,-0.8345267027616501
-1.0570138881941062,-0.8412385433912277
-1.0565309914802168,-0.8440343141555786
-1.0562878019534452,-0.842522457242012
-1.0562155711766843,-0.8474245369434357
-1.0559416144473397,-0.8474245369434357
-1.0548301014601167,-0.8440556228160858
